Plant.Name.x,Plant.Code,State.x,Sector.Name,Prime.Movers,Fuel.Types,Primary.Technology,Utility.ID,Utility.Name,Plant.Name.y,Street.Address,City,State.y,Zip,County,Latitude,Longitude
Georgia-Pacific Big Island,50479,VA,Industrial CHP,"HY, ST","WAT, WDS",Multiple,7167,GP Big Island LLC,Georgia-Pacific Big Island,9363 Lee Jackson Highway,Big Island,VA,24526,Bedford,37.534,-79.357
Georgia-Pacific Brewton Mill,54789,AL,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,55932,Georgia-Pacific Brewton LLC,Georgia-Pacific Brewton Mill,Highway 31 South,Brewton,AL,36426,Escambia,31.077,-87.1116
Georgia-Pacific Cedar Springs,54101,GA,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,7172,Georgia-Pacific Cedar Springs LLC,Georgia-Pacific Cedar Springs,GA Hwy 273 W,Cedar Springs,GA,31732,Early,31.166,-85.0951
Georgia-Pacific Consr Prods LP-Naheola,10699,AL,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,7136,Georgia-Pacific Consr Prods LP-Naheola,Georgia-Pacific Consr Prods LP-Naheola,7530 Highway 114,Pennington,AL,36916,Choctaw,32.2268,-88.0252
Georgia-Pacific Corp - Nekoosa Mill,50395,WI,Industrial CHP,"HY, ST","BLQ, NG, WAT",Multiple,5033,Domtar Industries Inc,Georgia-Pacific Corp - Nekoosa Mill,301 Point Basse Ave,Nekoosa,WI,54457,Wood,44.3142,-89.8964
Georgia-Pacific Crossett LLC,10606,AR,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,4580,Georgia-Pacific LLC,Georgia-Pacific Crossett LLC,100 Suppply Rd,Crossett,AR,71635,Ashley,33.1421,-91.975
Georgia-Pacific Monticello Paper,10610,MS,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,7166,Georgia-Pacific Monticello LLC,Georgia-Pacific Monticello Paper,604 N.A. Sandifer Road,Monticello,MS,39654,Lawrence,31.6285,-90.0809
Georgia-Pacific Palatka Operations,10611,FL,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,50128,Georgia-Pacific Consr Ops LLC-Palatka,Georgia-Pacific Palatka Operations,"County Rd #216,",Palatka,FL,32177,Putnam,29.6807,-81.6809
Georgia-Pacific Port Hudson,10612,LA,Industrial CHP,ST,"BLQ, PC",Multiple,50129,Georgia-Pacific Cons Op LLC Port Hudson,Georgia-Pacific Port Hudson,1000 W Mount Pleasant Rd,Zachary,LA,70791,East Baton Rouge,30.6547,-91.28
Georgia-Pacific Toledo Mill,58109,OR,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,57492,Georgia-Pacific Toledo LLC,Georgia-Pacific Toledo Mill,1400 SE Butler Bridge Road,Toledo,OR,97391,Lincoln,44.611944,-123.931944
Georgia-Pacific Wauna Mill,56192,OR,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,49842,Georgia-Pacific Consr Prods LP-Wauna,Georgia-Pacific Wauna Mill,92326 Taylorville Road,Clatskanie,OR,97016,Clatsop,46.153955,-123.40658
Gettysburg Energy & Nutrient Rec Facility,58565,PA,IPP Non-CHP,ST,OBS,Other Waste Biomass,58527,Gettysburg Energy and Nutrient Rec Facility LLC,Gettysburg Energy & Nutrient Rec Facility,3917 Oxford Road,York Springs,PA,17372,Adams,39.950278,-77.125278
Grayling Generating Station,10822,MI,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,3836,CMS Generation Operating LLC,Grayling Generating Station,4400 W 4 Mile Rd,Grayling,MI,49738,Crawford,44.604921,-84.690578
Green Cow Power,60721,IN,Industrial Non-CHP,IC,OBG,Other Waste Biomass,60441,Green Cow Power LLC,Green Cow Power,24130 County Rd. 40,Goshen,IN,46526,Elkhart,41.536735,-85.927204
GreenWhey Energy Inc,58747,WI,IPP CHP,IC,OBG,Other Waste Biomass,58660,GreenWhey Holdings,GreenWhey Energy Inc,465 Western Blvd,Turtle Lake,WI,54889,Polk,45.390278,-92.1625
HL Power,10777,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,56866,HL Power Company,HL Power,735-025 Wendel Road,Wendel,CA,96136,Lassen,40.368338,-120.264848
Halifax County Biomass,58560,VA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,58524,South Boston Energy LLC,Halifax County Biomass,1225 Plywood Trail,South Boston,VA,24592,Halifax,36.701389,-78.873333
Harvest Power Orlando,59151,FL,Commercial CHP,IC,OBG,Other Waste Biomass,58969,Harvest Power Orlando LLC,Harvest Power Orlando,2010 South Service Lane,Lake Buena Vista,FL,32830,Orange,28.376111,-81.590556
"Hidden View Dairy, LLC",59260,IN,Industrial Non-CHP,IC,OBG,Other Waste Biomass,59093,"Hidden View Dairy, LLC","Hidden View Dairy, LLC",1498 West SR 14,Rensselaer,IN,47978,Jasper,41.032778,-87.0725
Hillman Power LLC,10346,MI,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,8641,Hillman Power Co,Hillman Power LLC,750 Progress Street,Hillman,MI,49746,Montmorency,45.0688,-83.8932
Hoge Lumber,10739,OH,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,8696,Hoge Lumber Co,Hoge Lumber,701 South Main Street,New Knoxville,OH,45871,Auglaize,40.488484,-84.3183
Holsum Elm Dairy,58663,WI,Industrial CHP,IC,OBG,Other Waste Biomass,58605,Holsum Elm Dairy,Holsum Elm Dairy,N6206 Elm Rd,Hilbert,WI,54129,Calumet,44.115,-88.217222
Hometown Bio Energy LLC,58563,MN,IPP CHP,IC,OBG,Other Waste Biomass,58526,Hometown Bio Energy LLC,Hometown Bio Energy LLC,31889 356th Street,Le Sueur,MN,56058,Le Sueur,44.435556,-93.906389
Hopewell Mill,50813,VA,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,18147,RockTenn-Hopewell,Hopewell Mill,910 Industrial St.,Hopewell,VA,23860,Hopewell City,37.2914,-77.2816
Hopewell Power Station,10771,VA,Electric Utility,ST,WDS,Wood/Wood Waste Biomass,19876,Virginia Electric & Power Co,Hopewell Power Station,107 Terminal Street,Hopewell,VA,23860,Hopewell City,37.297834,-77.282982
Howard F Curren Advncd Wastewater Plant,54347,FL,Commercial Non-CHP,IC,OBG,Other Waste Biomass,18483,Tampa Wastewater Department,Howard F Curren Advncd Wastewater Plant,2700 Maritime Blvd,Tampa,FL,33605,Hillsborough,27.9389,-82.4389
IP Springfield Oregon,50191,OR,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,56289,International Paper Corporation,IP Springfield Oregon,801 42nd Street,Springfield,OR,97478,Lane,44.0569,-122.9555
Indeck Energy-Alexandria,58595,NH,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,58550,"Indeck Energy-Alexandria, LLC",Indeck Energy-Alexandria,151 Smith River Road,Alexandria,NH,03222,Grafton,43.560833,-71.780556
Indeck Jonesboro Energy Center,10765,ME,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,56402,Covanta Maine LLC,Indeck Jonesboro Energy Center,Route 1A,Jonesboro,ME,04648,Washington,44.6781,-67.5477
Indeck West Enfield Energy Center,10766,ME,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,56402,Covanta Maine LLC,Indeck West Enfield Energy Center,Route 2,West Enfield,ME,04493,Penobscot,45.2537,-68.62792
Ingredion Winston Salem,54618,NC,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,4417,Ingredion Inc - Winston Salem,Ingredion Winston Salem,4501 Overdale Road,Winston-Salem,NC,27107,Forsyth,36.033761,-80.227404
Inland Paperboard Packaging Rome,10426,GA,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,23632,Inland Paperboard - Rome Mill,Inland Paperboard Packaging Rome,238 Mays Bridge Rd,Rome,GA,30165,Floyd,34.2528,-85.3275
International Paper - Orange,10425,TX,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,54745,International Paper - Orange,International Paper - Orange,1750 Inland Rd,Orange,TX,77632,Orange,30.2178,-93.7422
International Paper Augusta Mill,54358,GA,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,9353,International Paper Co-Augusta,International Paper Augusta Mill,4278 Mike Padgett Highway,Augusta,GA,30906,Richmond,33.328259,-81.953078
International Paper Co. - New Bern Mill,50188,NC,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,20511,International Paper Co. - New Bern Mill,International Paper Co. - New Bern Mill,1785 Weyerhaeuser Rd.,New Bern,NC,28563,Craven,35.212,-77.1144
International Paper Eastover Facility,52151,SC,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,9424,International Paper Co-Eastovr,International Paper Eastover Facility,4001 McCord's Ferry Rd,Eastover,SC,29044,Richland,33.8872,-80.6397
International Paper Franklin Mill,52152,VA,Industrial CHP,"GT, ST","BLQ, NG",Multiple,9348,International Paper,International Paper Franklin Mill,34040 Union Camp Dr.,Franklin,VA,23851,Isle of Wight,36.6803,-76.9128
International Paper Georgetown Mill,54087,SC,Industrial CHP,ST,"BLQ, WDS",Wood/Wood Waste Biomass,9390,International Paper Co-GT Mill,International Paper Georgetown Mill,700 South Kaminski Street,Georgetown,SC,29440,Georgetown,33.360185,-79.302573
International Paper Pensacola,50250,FL,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,9401,International Paper Co-Pensacola,International Paper Pensacola,375 Muscogee Road,Cantonment,FL,32533,Escambia,30.5966,-87.3264
International Paper Prattville Mill,52140,AL,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,8009,International Paper Co,International Paper Prattville Mill,100 Jensen Road,Prattville,AL,36067,Autauga,32.4187,-86.4718
International Paper Red River Mill,58108,LA,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,57481,Red River Mill Intl Paper Company,International Paper Red River Mill,4537 Highway 480,Campti,LA,71411,Natchitoches,31.903333,-93.173889
International Paper Riegelwood Mill,54656,NC,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,9210,International Paper Co-Riegelwood,International Paper Riegelwood Mill,865 John L Riegel Road,Riegelwood,NC,28456,Columbus,34.3533,-78.2137
International Paper Riverdale Mill,54096,AL,Industrial CHP,"CA, CT, ST","BLQ, NG",Multiple,9393,International Paper Co-Riverdl,International Paper Riverdale Mill,601 County Rd 78,Selma,AL,36703,Dallas,32.426016,-86.870912
International Paper Savanna Mill,50398,GA,Industrial CHP,ST,"BLQ, NG",Multiple,30002,International Paper Co,International Paper Savanna Mill,West Lathrop,Savannah,GA,31402,Chatham,32.100354,-81.124248
International Paper Texarkana Mill,54097,TX,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,9385,International Paper Co,International Paper Texarkana Mill,9978 FM 3129,Queen City,TX,75572,Cass,33.2553,-94.0696
International Paper Valliant OK,50192,OK,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,56164,International Paper - Valliant,International Paper Valliant OK,890 IP Lane,Valliant,OK,74764,McCurtain,33.9961,-95.1114
International Paper Vicksburg Mill,54100,MS,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,9382,International Paper Co-Vicksbg,International Paper Vicksburg Mill,Higway 3 North,Vicksburg,MS,39181,Warren,32.5292,-90.7742
Interstate Paper LLC Riceboro,54281,GA,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,9394,Interstate Paper LLC,Interstate Paper LLC Riceboro,2366 Interstate Paper Road,Riceboro,GA,31323,Liberty,31.741629,-81.407856
J C McNeil,589,VT,Electric Utility,ST,WDS,Wood/Wood Waste Biomass,2548,City of Burlington Electric - (VT),J C McNeil,111 Intervale Road,Burlington,VT,05401,Chittenden,44.4917,-73.208056
"JC-Biomethane, LLC",59704,OR,IPP CHP,GT,OBG,Other Waste Biomass,59473,"JC-Biomethane, LLC","JC-Biomethane, LLC",92757 Highway 99 S,Junction City,OR,97448,Lane,44.183526,-123.200454
John H Warden,1772,MI,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,56133,L'Anse Warden Electric Company LLC,John H Warden,157 S Main St,L'Anse,MI,49946,Baraga,46.7553,-88.4558
Johnsonburg Mill,54638,PA,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,56137,Domtar LLC,Johnsonburg Mill,100 Center Street,Johnsonburg,PA,15845,Elk,41.491466,-78.675759
Kaiser Ontario,58132,CA,IPP Non-CHP,FC,OBG,Other Waste Biomass,56778,Bloom Energy 2009 PPA,Kaiser Ontario,2295 South Vineyard Ave,Ontario,CA,91761,San Bernardino,34.0325,-117.608889
KapStone Kraft Paper Corp,50254,NC,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,55771,KapStone Kraft Paper Corp,KapStone Kraft Paper Corp,100 Gaston Road,Roanoke Rapids,NC,27870,Halifax,36.4769,-77.6414
Kapstone,7737,SC,Electric Utility,ST,WDS,Wood/Wood Waste Biomass,17539,South Carolina Electric&Gas Company,Kapstone,5600 Virginia Avenue,Charleston,SC,29423,Charleston,32.9,-79.9667
Kaukauna Paper Mill,54098,WI,Industrial CHP,ST,"BIT, BLQ",Multiple,54738,Thilmany LLC,Kaukauna Paper Mill,600 Thilmany Road,Kaukauna,WI,54130,Outagamie,44.2826,-88.2534
Kentucky Mills,55429,KY,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,55839,Domtar Paper Company LLC,Kentucky Mills,"PO Box 130, Hwy 1406",Hawesville,KY,42348,Hancock,37.8948,-86.6854
Kettle Falls Generating Station,550,WA,Electric Utility,"GT, ST","NG, WDS",Multiple,20169,Avista Corp,Kettle Falls Generating Station,1151 Hyw. 395 N.,Kettle Falls,WA,99141,Stevens,48.620336,-118.111059
Kishwaukee CHP Plant,58177,IL,IPP CHP,IC,OBG,Other Waste Biomass,58129,Rock River Water Reclamation District,Kishwaukee CHP Plant,3333 Kishwaukee Street,Rockford,IL,61109,Winnebago,42.221944,-89.093333
Koda Biomass Plant,57119,MN,IPP CHP,ST,AB,Other Waste Biomass,56413,Koda Energy LLC,Koda Biomass Plant,975 3rd Avenue West,Shakopee,MN,55379,Scott,44.7956,-93.5386
Leaf River Cellulose LLC,10233,MS,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,50133,Leaf River Cellulose LLC,Leaf River Cellulose LLC,134 Buck Creek Road,NA,MS,39462,Perry,31.2434,-89.0456
"Lignetics of Maine, LLC.",55034,ME,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,56383,"Lignetics of Maine, LLC.","Lignetics of Maine, LLC.",30 Norton Hill Road,Strong,ME,04983,Franklin,44.8061,-70.2186
Longview Fibre,54562,WA,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,11169,Longview Fibre Co,Longview Fibre,300 Fibre Way,Longview,WA,98632,Cowlitz,46.103887,-122.918429
Lumberton,10382,NC,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,59593,NC Renewable Power - Lumberton LLC,Lumberton,1866 Hestertown Road,Lumberton,NC,28359,Robeson,34.59,-78.9968
M L Hibbard,1897,MN,Commercial CHP,ST,WDS,Wood/Wood Waste Biomass,12647,"ALLETE, Inc.",M L Hibbard,4913 Main Street,Duluth,MN,55807,St Louis,46.735331,-92.151711
MCLB Landfill Gas to Energy,59335,GA,IPP CHP,IC,OBG,Other Waste Biomass,59135,Inst and Envir Div Marine Logistics Base,MCLB Landfill Gas to Energy,814 Radford Blvd,Albany,GA,31704,Dougherty,31.546111,-84.0675
MMSD South Shore Wastewater,55525,WI,Commercial CHP,IC,OBG,Other Waste Biomass,12619,Milwaukee Metro Sewerage Dist,MMSD South Shore Wastewater,8500 S 5th Ave,Oak Creek,WI,53154,Milwaukee,42.8869,-87.8422
Manitowoc,4125,WI,Electric Utility,"IC, ST","NG, PC, WDS",Multiple,11571,Manitowoc Public Utilities,Manitowoc,701 Columbus Street,Manitowoc,WI,54221,Manitowoc,44.082,-87.6558
Mansfield Mill,54091,LA,Industrial CHP,"GT, ST","BLQ, NG",Multiple,9312,IPC-Mansfield Mill,Mansfield Mill,1202 Hwy 509,Mansfield,LA,71052,DeSoto,32.1575,-93.5562
Marlboro Mill,57470,SC,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,56788,Domtar Paper Company Bennettsville,Marlboro Mill,585 Willamette Road,Bennettsville,SC,29512,Marlboro,34.605,-79.785
McMinnville,55928,TN,Electric Utility,IC,"DFO, OBL",Multiple,12186,McMinnville Electric System,McMinnville,200 West Morford St.,McMinnville,TN,37111,Warren,35.705,-85.7439
Mead Coated Board,54802,AL,Industrial CHP,"GT, ST","BLQ, NG",Multiple,12222,Mead Coated Board Inc,Mead Coated Board,Hwy 165 S,Mahrt,AL,36851,Russell,32.1761,-85.0272
Medford Operation,56193,OR,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,50082,Boise Cascade Wood Products LLC,Medford Operation,3285 North Pacific Highway,Medford,OR,97501,Jackson,42.355517,-122.904642
Mesquite Lake Energy Park Plant 2,50363,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,55960,Mesquite Lake Energy Park,Mesquite Lake Energy Park Plant 2,3559 Highway 111,Imperial,CA,92251,Imperial,32.903826,-115.511949
Mesquite Lake Water & Power Plant 1,57154,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,59186,Mesquite Lake Water & Power Plant 1,Mesquite Lake Water & Power Plant 1,3505 US Highway 111,Imperial,CA,92225,Imperial,32.906569,-115.513747
Metro Wastewater Reclamation District,10180,CO,IPP CHP,"GT, IC",OBG,Other Waste Biomass,19068,"Colorado Energy Nations Company, LLC",Metro Wastewater Reclamation District,6450 York Street,Denver,CO,80229,Denver,39.8078,-104.9542
Middlebury College,57804,VT,Commercial CHP,ST,WDS,Wood/Wood Waste Biomass,57123,Middlebury College Biomass,Middlebury College,84 South Service Road,Middlebury,VT,05753,Addison,44.0075,-73.176944
MillerCoors Irwindale Brewery,58056,CA,Industrial Non-CHP,"GT, IC, PV","NG, OBG, SUN",Multiple,57435,MillerCoors Irwindale Brewery,MillerCoors Irwindale Brewery,15801 E First Street,Irwindale,CA,91706,Los Angeles,34.121667,-117.938333
MillerCoors Shenandoah Brewery,58057,VA,Industrial Non-CHP,GT,OBG,Other Waste Biomass,57436,MillerCoors Shenandoah Brewery,MillerCoors Shenandoah Brewery,5135 South Eastside Highway,Elkton,VA,22812,Rockingham,38.356944,-78.676667
Missouri River Wastewater Treatment,55033,NE,Commercial CHP,IC,OBG,Other Waste Biomass,13157,Omaha City of,Missouri River Wastewater Treatment,5600 South 10th Street,Omaha,NE,68107,Douglas,41.2033,-95.9292
Mobile Energy Services LLC,50407,AL,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,34672,DTE Energy Services,Mobile Energy Services LLC,200 Bay Bridge Road,Moble,AL,36610,Mobile,30.736487,-88.051643
Monterey Regional Water Cogen Facility,54951,CA,Commercial CHP,IC,OBG,Other Waste Biomass,12221,MRWPCA,Monterey Regional Water Cogen Facility,14811 Del Monte Blvd,Marina,CA,93933,Monterey,36.7056,-121.7714
Mt Lassen Power,54468,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,59479,"Covanta Energy Americas, Inc.",Mt Lassen Power,"1/2 mi W of Town,County Rd A21",Westwood,CA,96013,Lassen,40.2969,-121.0178
Mt Poso Cogeneration,54626,CA,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,13060,Mt Poso Cogeneration Co,Mt Poso Cogeneration,36157 Famoso Woody Road,Bakersfield,CA,93308,Kern,35.576323,-119.006245
"Multitrade Rabun Gap, LLC",50201,GA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,56216,Multitrade Rabun Gap LLC,"Multitrade Rabun Gap, LLC",1585 York House Road,Rabun Gap,GA,30568,RABUN,34.9536,-83.3786
Multitrade of Pittsylvania LP,52118,VA,Electric Utility,ST,WDS,Wood/Wood Waste Biomass,19876,Virginia Electric & Power Co,Multitrade of Pittsylvania LP,821 Grit Road,Hurt,VA,24563,Pittsylvania,37.104141,-79.276958
NPI USA Cogeneration Plant,58352,WA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,58341,Nippon Paper Industries USA,NPI USA Cogeneration Plant,1815 Marine Drive,Port Angeles,WA,98363,Clallam,48.134722,-123.465556
Nacogdoches Power,55708,TX,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,17650,Southern Power Co,Nacogdoches Power,499 County Road 988,Cushing,TX,75760,Nacogdoches,31.832132,-94.90064
Napoleon Biogas,58921,OH,IPP Non-CHP,IC,OBG,Other Waste Biomass,58383,CH4 Biogas LLC,Napoleon Biogas,12329 County Road P-3,Napoleon,OH,43545,Henry,41.355556,-84.1025
Nippon Dynawave Packaging Longview WA,50187,WA,Industrial CHP,ST,"BLQ, WDS",Wood/Wood Waste Biomass,60561,Nippon Dynawave Packaging Co.,Nippon Dynawave Packaging Longview WA,3401 Industrial Way,Longview,WA,98632,Cowlitz,46.1236,-122.9728
Novo BioPower Plant,56616,AZ,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,55925,Novo Biopower LLC,Novo BioPower Plant,Highway Spur 277 N,Snowflake,AZ,85937,Navajo,34.503158,-110.334953
Okeelanta Cogeneration,54627,FL,IPP CHP,ST,AB,Other Waste Biomass,13492,New Hope Power Company,Okeelanta Cogeneration,8001 Highway 27 South,South Bay,FL,33493,Palm Beach,26.5769,-80.7469
Orbit Energy Charlotte,58638,NC,IPP Non-CHP,IC,OBG,Other Waste Biomass,58589,Orbit Energy Charlotte,Orbit Energy Charlotte,600 Johnson Rd,Charlotte,NC,28206,Mecklenburg,35.2625,-80.811667
Oshkosh Foundation Rosedale Biodigester LLC,58555,WI,IPP Non-CHP,IC,OBG,Other Waste Biomass,58521,University of Wisconsin Oshkosh Foundation,Oshkosh Foundation Rosedale Biodigester LLC,N8997 County Tk M,Pickett,WI,54964,Winnebago,43.867778,-88.718056
Oxnard Wastewater Treatment Plant,50224,CA,Commercial CHP,IC,OBG,Other Waste Biomass,22045,Oxnard City of,Oxnard Wastewater Treatment Plant,6001 S. Perkins Rd.,Oxnard,CA,93033,Ventura,34.140501,-119.184529
P H Glatfelter,50397,PA,Industrial CHP,ST,"BIT, BLQ",Multiple,14310,P H Glatfelter Co,P H Glatfelter,228 S. Main Street,Spring Grove,PA,17362,York,39.870935,-76.868117
P H Glatfelter Co -Chillicothe Facility,10244,OH,Industrial CHP,ST,"BIT, BLQ",Multiple,54880,P H Glatfelter Company,P H Glatfelter Co -Chillicothe Facility,232 East 8th Street,Chillicothe,OH,45601,Ross,39.324611,-82.974039
PCA-Valdosta Mill,60084,GA,Industrial CHP,ST,"BLQ, WDS",Wood/Wood Waste Biomass,59833,PCA-Valdosta Mill,PCA-Valdosta Mill,5495 Clyattville-Lake Park Roa,Valdosta,GA,31601,Lowndes,30.694444,-83.303056
PInova Inc,10120,GA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,8486,PInova Inc,PInova Inc,2801 Cook St,Brunswick,GA,31520,Glynn,31.164772,-81.478724
POTB Digester,58591,OR,Electric Utility,IC,OBG,Other Waste Biomass,58547,Port of Tillamook Bay,POTB Digester,6080 Hangar A Rd,Tillamook,OR,97141,Tillamook,45.414444,-123.804167
PWD Northeast WPCP Biogas Cogen Plant,58326,PA,Commercial Non-CHP,IC,OBG,Other Waste Biomass,56205,Philadelphia Water Department,PWD Northeast WPCP Biogas Cogen Plant,3899 Richmond St,Philadelphia,PA,19137,Philadelphia,39.988611,-75.083333
Pacific Oroville Power Inc,54469,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,59479,"Covanta Energy Americas, Inc.",Pacific Oroville Power Inc,3050 South Fifth Avenue,Oroville,CA,95965,Butte,39.480419,-121.565663
Pacific Rim Dairy Digester,59447,CA,IPP Non-CHP,IC,OBG,Other Waste Biomass,59213,Maas Energy Works,Pacific Rim Dairy Digester,13406 Road 24,Corcoran,CA,93212,Tulare,36.033056,-119.51
Pacific-Ultrapower Chinese Station,50560,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,58650,IHI Power Services Corp,Pacific-Ultrapower Chinese Station,8755 Enterprise Drive,Jamestown,CA,95327,Tuolumne,37.874056,-120.477556
Packaging Corp of America,50296,TN,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,14362,Packaging Corp of America,Packaging Corp of America,HWY. 57,Counce,TN,38326,Hardin,35.0471,-88.2661
Papillion Creek Wastewater,55027,NE,Commercial CHP,IC,OBG,Other Waste Biomass,13157,Omaha City of,Papillion Creek Wastewater,15705 Harlan Lewis Road,Bellevue,NE,68123,Sarpy,41.0772,-95.87
